community_note,created_at,edits_remaining,favorite_count,full_text,has_card,has_community_notes,hashtags,id,in_reply_to,is_quote_status,is_translatable,lang,media,place,poll,possibly_sensitive,quote,quote_count,reply_count,retweet_count,retweeted_tweet,thumbnail_title,thumbnail_url,urls,user,view_count,view_count_state
None,Mon Sep 30 18:15:55 +0000 2024,5,30259,Retweet widely Africa is talented https://t.co/o423Vka9VY,False,None,,1840817869581361397,None,False,False,en,https://pbs.twimg.com/media/GYvmFJWXEAA3jCe.jpg,None,None,False,None,158,385,6401,None,None,None,None,1378824930624745480,799504,EnabledWithCount
None,Wed Oct 02 16:28:16 +0000 2024,5,9299,Chelsea support in Africa is like a religion. It's different level. https://t.co/EaJclFBryy,False,None,,1841515555246813500,None,False,False,en,https://pbs.twimg.com/media/GY5go0MXoAEZpm7.jpg,None,None,False,None,39,296,922,None,None,None,None,317750296,168341,EnabledWithCount
None,Fri Sep 27 18:48:27 +0000 2024,5,11461,"In Africa, we don't send our African elders to old age homes, they stay at home so that they pass intergenerational wisdom

Your comments on this https://t.co/eXU6J8VoCG",False,None,,1839738893496643899,None,False,False,en,https://pbs.twimg.com/media/GYgQrISWAAAbWVU.jpg,None,None,False,None,65,430,1640,None,None,None,None,1536268354830360576,237337,EnabledWithCount
None,Tue Oct 01 09:37:01 +0000 2024,5,4532,Happy Independence Day Nigeria. https://t.co/HwoCpiX8Rh,False,None,,1841049671973638550,None,False,False,en,"https://pbs.twimg.com/media/GYy46oTXAAkycC0.jpg,https://pbs.twimg.com/media/GYy46rLXsAAZnCv.png",None,None,False,None,17,272,444,None,None,None,None,129009730,168377,EnabledWithCount
"{'id': '1841410183144132810', 'text': 'F1 is part of an internet hoax that started with altered images from a 2002 contest called ""Archaeological Anomalies 2."" Though it wasn\'t the first time,  It was officially debunked by National Geographic in 2007. \n\nnationalgeographic.com/history/articl….'}",Wed Oct 02 03:46:55 +0000 2024,5,4135,"There is a massive ancient grave of the giants in Mpumalanga Province, South Africa. Archeological societies are aware of this site, but they kept it secret to the public to avoid rewriting history and... https://t.co/IRtUYT4LqI",False,None,,1841323955082109080,None,False,False,en,"https://pbs.twimg.com/media/GY2yX4LWIAA2Llz.jpg,https://pbs.twimg.com/media/GY2yYKxWkAAwiv4.jpg",None,None,False,None,89,189,1134,None,None,None,None,872099812497395712,572747,EnabledWithCount
None,Thu Sep 26 12:44:23 +0000 2024,5,18601,The cost of engaging in violent criminal activities in South Africa is to have the top of your skull cap blown off and your brains ending up on the back seat. https://t.co/HEglO5fD23,False,None,,1839284885053125004,None,False,False,en,"https://pbs.twimg.com/media/GYZz2nPaMAUDLMg.jpg,https://pbs.twimg.com/media/GYZz2rlaEAACoN7.jpg,https://pbs.twimg.com/media/GYZz2sLaAAAaYTs.jpg,https://pbs.twimg.com/media/GYZz2o2aMAo5ocU.jpg",None,None,False,None,207,885,1994,None,None,None,None,1489956224179261446,2539609,EnabledWithCount
None,Sun Sep 29 18:57:14 +0000 2024,5,630,"This is apparently South Africa. 

A ghetto slump turned into small Mogadishu, our former Mayfair. 
Murder on 8 Avenue and Bird Street, 6 shots ! https://t.co/IheWSXUpbl",False,None,,1840465881014349964,None,False,False,en,"https://pbs.twimg.com/ext_tw_video_thumb/1840465763007639552/pu/img/QjIxuTUurp844mUB.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1840465776035172352/pu/img/MIOuwmdRY0lHIarm.jpg",None,None,False,None,7,58,299,None,None,None,None,1280625754238267393,36835,EnabledWithCount
None,Sun Sep 29 08:17:10 +0000 2024,5,6248,Ancianas occidentales desvergonzadas van de turismo sexual a África para echarse un novio joven que las sirva. https://t.co/UMdrn2LOds,False,None,,1840304801613037823,None,False,True,es,https://pbs.twimg.com/amplify_video_thumb/1840304746638258176/img/iBaNStCscQ6GeMtE.jpg,None,None,False,None,138,1092,798,None,None,None,None,1142823700829540356,3326175,EnabledWithCount
None,Tue Oct 01 20:11:32 +0000 2024,5,0,@Mike_Pence South Africa is Neutral https://t.co/A9qJZ15Oic,False,None,,1841209354222964844,1841151136713117928,False,False,en,https://pbs.twimg.com/media/GY1KJB-X0AE24v3.jpg,None,None,False,None,0,0,0,None,None,None,None,1743684669407744001,40,EnabledWithCount
None,Wed Oct 02 11:34:24 +0000 2024,5,58398,Bro you can always just pack up your shit and move back home to South Africa https://t.co/rIW4R5ztDs,False,None,,1841441601135997391,None,False,False,en,https://pbs.twimg.com/media/GY4dYCfWYAAatHe.jpg,None,None,False,None,448,2033,7279,None,None,None,None,1359581713198960647,685967,EnabledWithCount
None,Wed Oct 02 11:13:36 +0000 2024,5,2465,Cassper ex on IG... https://t.co/gQKucZREdT,False,None,,1841436366745587967,None,False,False,en,https://pbs.twimg.com/media/GY4X8OhWgAAitln.jpg,None,None,False,None,24,40,230,None,None,None,None,300389904,248938,EnabledWithCount
None,Wed Oct 02 16:28:16 +0000 2024,5,9306,Chelsea support in Africa is like a religion. It's different level. https://t.co/EaJclFBryy,False,None,,1841515555246813500,None,False,False,en,https://pbs.twimg.com/media/GY5go0MXoAEZpm7.jpg,None,None,False,None,39,296,924,None,None,None,None,317750296,168453,EnabledWithCount
None,Mon Sep 30 18:15:55 +0000 2024,5,30259,Retweet widely Africa is talented https://t.co/o423Vka9VY,False,None,,1840817869581361397,None,False,False,en,https://pbs.twimg.com/media/GYvmFJWXEAA3jCe.jpg,None,None,False,None,158,385,6401,None,None,None,None,1378824930624745480,799504,EnabledWithCount
"{'id': '1841410183144132810', 'text': 'F1 is part of an internet hoax that started with altered images from a 2002 contest called ""Archaeological Anomalies 2."" Though it wasn\'t the first time,  It was officially debunked by National Geographic in 2007. \n\nnationalgeographic.com/history/articl….'}",Wed Oct 02 03:46:55 +0000 2024,5,4141,"There is a massive ancient grave of the giants in Mpumalanga Province, South Africa. Archeological societies are aware of this site, but they kept it secret to the public to avoid rewriting history and... https://t.co/IRtUYT4LqI",False,None,,1841323955082109080,None,False,False,en,"https://pbs.twimg.com/media/GY2yX4LWIAA2Llz.jpg,https://pbs.twimg.com/media/GY2yYKxWkAAwiv4.jpg",None,None,False,None,88,189,1135,None,None,None,None,872099812497395712,572747,EnabledWithCount
None,Mon Sep 30 15:44:42 +0000 2024,5,1543,Police have unleashed tear gas on peaceful citizens simply demanding answers about Morara's abduction. This blatant abuse of power. Where are the answers? How long will they keep silencing the truth with violence? #freemorara https://t.co/pmG0OHB1Wi,False,None,freemorara,1840779814971535613,None,False,False,en,https://pbs.twimg.com/amplify_video_thumb/1840779732046028800/img/Zt80jtIa5T1mYURf.jpg,None,None,False,None,44,63,1186,None,None,None,None,1681345493438275584,67285,EnabledWithCount
None,Wed Oct 02 07:51:10 +0000 2024,5,118,She has united Africa and the whole world https://t.co/0mR3cD1LkL,False,None,,1841385422187807129,None,False,False,en,https://pbs.twimg.com/media/GY3qRzLWwAA-E90.jpg,None,None,False,None,0,112,1,None,None,None,None,1555923577660211200,1884,EnabledWithCount
None,Tue Oct 01 18:13:50 +0000 2024,5,236,"-Kenya,Africa,the whole world stand with Israel,Tel Aviv.

-I stand with Israel #Israel .
-World War 3 https://t.co/BMpuHFfQlL",False,None,Israel,1841179732752392442,None,False,False,en,https://pbs.twimg.com/media/GY0vNOQXkAQrG0f.jpg,None,None,False,None,30,259,29,None,None,None,None,2535137426,47104,EnabledWithCount
None,Fri Sep 27 08:03:05 +0000 2024,5,85,"I have asked this question before, I want to ask again, for the very last time what is the real name of this bag? https://t.co/eIM7c9HsED",False,None,,1839576479887159383,None,False,False,en,"https://pbs.twimg.com/media/GYd9DqOWIAA3n5U.jpg,https://pbs.twimg.com/media/GYd9DqNW8AAq_vG.jpg",None,None,False,None,5,49,21,None,None,None,None,2450068830,7823,EnabledWithCount
