community_note,created_at,edits_remaining,favorite_count,full_text,has_card,has_community_notes,hashtags,id,in_reply_to,is_quote_status,is_translatable,lang,media,place,poll,possibly_sensitive,quote,quote_count,reply_count,retweet_count,retweeted_tweet,thumbnail_title,thumbnail_url,urls,user,view_count,view_count_state
None,Mon Sep 30 19:55:38 +0000 2024,5,2,"@DSultantv26 @abibsh Yep shame‼️This is how those saddest people denied and rubbing salt in our wounds💔 No Justice For Tigray, No Peace for Ethiopia. #TigrayGenocide https://t.co/U2spp1fVEu",False,None,TigrayGenocide,1840842962244440315,1840449095875371439,False,False,en,"https://pbs.twimg.com/media/GYv80NObQAAzeMp.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1840842846544523264/pu/img/itpQ-S0NvIPDRoR8.jpg,https://pbs.twimg.com/media/GYv80NObQAEtcc6.jpg,https://pbs.twimg.com/media/GYv80NRakAAvXeK.jpg",None,None,False,None,0,0,0,None,None,None,None,1333245889717014528,229,EnabledWithCount
None,Tue Oct 01 02:19:15 +0000 2024,5,0,"@ifarghaly @Anubis_214 Your shit cowards 😤
...barking like a dog already we in your borders....just wait refugee of seraya.. https://t.co/HwYVxveTQL",False,None,,1840939503738847326,1840694080411668683,False,False,en,"https://pbs.twimg.com/ext_tw_video_thumb/1840939369420472331/pu/img/_dPdPUQ80EjnXK2z.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1840939344661516288/pu/img/SJmvREB29Agw1e48.jpg",None,None,False,None,0,0,0,None,None,None,None,2464942648,111,EnabledWithCount
None,Tue Mar 19 12:03:15 +0000 2024,5,5205,"This is how some ladies make their money in Dubai, UAE. Most of them are from Nigeria, Cameroon, Ethiopia, Uganda and Ghana. They lure men to sleep with them for money in broad daylight and they negotiate the price even before they go inside. If your serious girlfriend is in Dubai and you don’t know the kind of job they do, i feel sorry for you.",False,None,,1770058449755496776,None,False,False,en,https://pbs.twimg.com/amplify_video_thumb/1770058173304774656/img/O544Smn6iteaQSer.jpg,None,None,False,None,470,723,1760,None,None,None,None,1319313941189828617,3892824,EnabledWithCount
None,Tue Oct 01 17:35:08 +0000 2024,5,6,"Today was a truly special day in Moyale as we embarked on an entourage through Moyale town, marking Day 63 of the Horn of Africa Elephant Campaign Walk.

 I am thrilled to announce that the Elephant Campaign team has reached the Ethiopia border in Moyale, a significant milestone in our journey.

 I want to extend my heartfelt thanks to the entire team that accompanied me today: ACC Moyale, Mr. Martin Muhia; the KWS team led by Warden Mr. Abdi Kampicha; OCPD Mr. George Kipkoros; AP Commander (PPU) Mr. Shadrack Yego; Deputy Officer in Charge of Moyale Prison, Mr. Kodeck Mose; Deputy OCS, Mr. Samora Bala; Subcounty AP Commander, Mr. Geoffrey Elongi; the KDF team led by Lieutenant Mr. M. Kassim; Border Liaison Officer, Major Ruto; the Peace Forum team led by Chair Mr. Mohamed; and the Dabel Conservancy team led by Mr. Ali Bule.

Walking through Moyale town and engaging with the residents was a powerful experience. It was an opportunity to share the message of conservation with the local community and to emphasize the importance of protecting our wildlife and environment. 

The presence of local leaders and security personnel made the day even more impactful, as it demonstrated a unified effort between different sectors of society—government, security forces, and conservationists—working together toward a common goal.

After the walk, I, along with KWS Warden Mr. Abdi Kampicha, had the pleasure of inviting the entire team to the KWS camp for lunch. 

Sharing a meal together was more than just an act of hospitality; it was a moment to reflect on and celebrate the progress we have made so far in the Elephant Campaign Walk. It allowed us to  strengthen our bonds, and appreciate the collective effort that has brought us this far.

Eating together symbolizes unity and the importance of working as a team to achieve common goals. It was a time to not only celebrate our accomplishments but also to recharge and prepare for the journey ahead, knowing that every step we take is a step toward securing a future where both people and wildlife can thrive. @KWSKenya
@KeForestService @PSMuseiya
#18theditionwalk @rebecca_miano
#moyale @whthome",False,None,"18theditionwalk,moyale",1841169994756813289,None,False,False,en,"https://pbs.twimg.com/ext_tw_video_thumb/1841169923067822083/pu/img/ECP64_qzi-knRd6s.jpg,https://pbs.twimg.com/media/GY0mSoSWoAgctFM.jpg,https://pbs.twimg.com/media/GY0mSoRWQAEdEVU.jpg,https://pbs.twimg.com/media/GY0mSkLXEAQ06Cr.jpg",None,None,False,None,0,0,4,None,None,None,None,929257814,461,EnabledWithCount
None,Thu Sep 26 07:59:10 +0000 2024,5,12314,"""Go back to Poland"" https://t.co/b0ONP2fr2s",False,None,,1839213108436353056,None,False,False,en,https://pbs.twimg.com/media/GYYykpyWIAA5tH1.jpg,None,None,False,None,275,1622,877,None,None,None,None,46861233,1656686,EnabledWithCount
None,Wed Oct 02 16:22:28 +0000 2024,5,6,Ethiopian Airlines to Commence Five New Int’l Destinations During Current Fiscal Year  https://t.co/UfGNPrwhbS https://t.co/6KtQ08Kkxw,False,None,,1841514094911709248,None,False,False,en,https://pbs.twimg.com/media/GY5fTYzX0AASeDy.png,None,None,False,None,1,0,3,None,None,None,https://www.ena.et/web/eng/w/eng_5228904,4523222669,425,EnabledWithCount
None,Thu Sep 26 12:52:09 +0000 2024,5,8,"From China Railway Seventh Group, Ethiopia  👏👏👏 https://t.co/VKgPhoWr3P",False,None,,1839286837484847214,None,True,False,en,"https://pbs.twimg.com/media/GYZ1hdEbkAA5LyH.jpg,https://pbs.twimg.com/media/GYZ1hdEaMAE-sqc.jpg,https://pbs.twimg.com/media/GYZ1hdHaoAA4lbJ.jpg,https://pbs.twimg.com/media/GYZ1hdSbgAAysSh.jpg",None,None,False,1839107622781219137,2,1,4,None,None,None,None,1196647354130206720,2491,EnabledWithCount
None,Tue Oct 01 10:54:39 +0000 2024,None,520,"እስራኤልን 🇮🇱 ይደግፋሉ?

Do you Support Israel ?

Yes or No. https://t.co/00H0j2TESs",False,None,,1841069209393991871,None,False,False,en,https://pbs.twimg.com/media/GYzKQ68WwAAvTT_.jpg,None,None,False,None,34,468,23,None,None,None,None,207465808,50800,EnabledWithCount
None,Tue Sep 24 10:56:28 +0000 2024,5,16,"ADDIS ABABA, Ethiopia — Ethiopian Foreign Minister Taye Atske-Selassie warned that arms shipments from Egypt to #Somalia risk worsening the Horn of Africa region's fragile security, with the potential for weapons to fall into terrorist hands, including Al-Shabaab. https://t.co/yJLuW1jjqI",False,None,Somalia,1838532950280818780,None,False,False,en,"https://pbs.twimg.com/ext_tw_video_thumb/1838532743161892865/pu/img/dswVliS9KEzckS1w.jpg,https://pbs.twimg.com/media/GYPH0h3WYAAJhHA.jpg",None,None,False,None,0,3,11,None,None,None,None,96224067,8951,EnabledWithCount
None,Fri Sep 27 00:56:16 +0000 2024,5,2,@AlbisoAchaAlto Which Ethiopia ? https://t.co/07iYLD8wfa,False,None,,1839469069223051453,1839161100866142219,False,False,cy,"https://pbs.twimg.com/media/GYcbTgla0AAWenw.jpg,https://pbs.twimg.com/media/GYcbTgXbkAA9njS.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1839468994744700928/pu/img/l9MYImKedTsF2DcB.jpg",None,None,False,None,0,2,0,None,None,None,None,1497008472734404618,2824,EnabledWithCount
None,Wed Oct 02 14:40:50 +0000 2024,5,5,"I love it when other East Africans compliment Kenyan brands.

One day, Kenyan brands might also be preferred in nationalist countries like Ethiopia because of their professionalism. https://t.co/O8Cx72PcSs",False,None,,1841488519413276874,None,False,False,en,https://pbs.twimg.com/media/GY5IDLLWQAAzNH_.jpg,None,None,False,None,0,0,3,None,None,None,None,862624394916626432,1275,EnabledWithCount
None,Thu Sep 26 19:20:03 +0000 2024,5,4,"In the Bodi clan of Ethiopia, the most desired man is considered to be the one who has the biggest belly, the bigger belly you have, the more attractive you will be, https://t.co/Srhdz9rLtL",False,None,,1839384458740597115,None,False,False,en,"https://pbs.twimg.com/media/GYbOap7bsAAZxL3.jpg,https://pbs.twimg.com/media/GYbOarBaoAAvfbz.jpg,https://pbs.twimg.com/media/GYbOarxbQAAByDe.jpg,https://pbs.twimg.com/media/GYbOasTbMAAvMDM.jpg",None,None,False,None,1,1,2,None,None,None,None,1646403077748998145,3445,EnabledWithCount
None,Wed Oct 02 08:25:32 +0000 2024,5,15,"General Michael Langley, AFRICOM commander noted that diplomatic tensions between #Somalia and Ethiopia over Sea access MoU with Somaliland could affect the campaign against Al Shabab with Somali army operations with Ethiopian forces have been “limited.” https://t.co/RNrNF6OuJ1",False,None,Somalia,1841394072361034209,None,False,False,en,https://pbs.twimg.com/ext_tw_video_thumb/1841393272922439680/pu/img/SdLwE3k78K3_15rg.jpg,None,None,False,None,1,6,10,None,None,None,None,96224067,5201,EnabledWithCount
None,Mon Sep 30 06:05:20 +0000 2024,5,3,"ግሸን ደብረ ከርቤ!

ግሸን ደብረ ከርቤን ጨምሮ ሙሉ አምባሰል በፋኖ ቁጥጥር ስር ሲሆን ዓመታዊ ታላቁ የግሸን ደብረ ከርቤ ክብረ በዓል በሰላማዊ መንገድ እንዲከበር የፋኖ አባላቱ በቂ ዝግጅት ማድረጋቸውን አስታውቀዋል።

#Amhara #Ethiopia https://t.co/bSYIlMrLO9",False,None,"Amhara,Ethiopia",1840634011418280363,None,False,True,am,"https://pbs.twimg.com/media/GYs-4HPWcAAqXEP.jpg,https://pbs.twimg.com/media/GYs-3yjXQAAiX-D.jpg,https://pbs.twimg.com/media/GYs-3LKXQAE556V.jpg,https://pbs.twimg.com/media/GYs-3SKXUAARs9_.jpg",None,None,False,None,0,0,2,None,None,None,None,1425472539812302859,282,EnabledWithCount
None,Sat Sep 28 22:51:16 +0000 2024,5,422,"My second passport my second Home as a #Somalilander #Ethiopia 
It’s an honor to take this national citizenship Identity
instead the worst passport 
in the universe🇸🇴. 
#Respect_the_MOU
#Somaliland_is_not_somalia
To those who says u use our passport I will use ur pass as a 🧻 🚽 https://t.co/LBjPgKTopM",False,None,"Somalilander,Ethiopia,Respect_the_MOU,Somaliland_is_not_somalia",1840162387078303753,None,False,False,en,"https://pbs.twimg.com/media/GYmR3d2WoAAkloo.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1840162304849006592/pu/img/2lE1j8OS1o78s3AG.jpg",None,None,False,None,16,126,42,None,None,None,None,988510170211930112,80227,EnabledWithCount
None,Wed Oct 02 03:50:56 +0000 2024,5,3,❤️ https://t.co/JLv4lOTkhD,False,None,,1841324963267055667,None,False,False,qme,https://pbs.twimg.com/media/GY2zS6cWAAAZS9g.jpg,None,None,False,None,6,13,0,None,None,None,None,1670783786,6022,EnabledWithCount
